id;time;change;insert_time;fk_measurement_station_id
41068;2022-05-09 09:45:13.940199 +00:00;-1;2022-05-09 09:45:14.293740 +00:00;2
41069;2022-05-09 09:45:18.080202 +00:00;-1;2022-05-09 09:45:18.273611 +00:00;2
41070;2022-05-09 09:45:22.302776 +00:00;-1;2022-05-09 09:45:22.947127 +00:00;2
41071;2022-05-09 09:45:26.076922 +00:00;1;2022-05-09 09:45:26.613349 +00:00;2
41072;2022-05-09 09:45:26.711978 +00:00;1;2022-05-09 09:45:27.960490 +00:00;2
41073;2022-05-09 09:45:33.148503 +00:00;-1;2022-05-09 09:45:33.725726 +00:00;2
41074;2022-05-09 09:45:36.330419 +00:00;1;2022-05-09 09:45:36.854292 +00:00;2
41075;2022-05-09 09:45:44.210788 +00:00;-1;2022-05-09 09:45:45.339576 +00:00;2
41076;2022-05-09 09:45:48.634470 +00:00;1;2022-05-09 09:45:49.902868 +00:00;2
41077;2022-05-09 09:45:49.302825 +00:00;1;2022-05-09 09:45:50.021279 +00:00;2
41078;2022-05-09 09:45:56.266535 +00:00;1;2022-05-09 09:45:56.456173 +00:00;2
41079;2022-05-09 09:46:03.290669 +00:00;-1;2022-05-09 09:46:03.685547 +00:00;2
41080;2022-05-09 09:46:19.311209 +00:00;-1;2022-05-09 09:46:19.787672 +00:00;2
41081;2022-05-09 09:46:36.525391 +00:00;-1;2022-05-09 09:46:36.811138 +00:00;2
41082;2022-05-09 09:46:37.344981 +00:00;1;2022-05-09 09:46:37.683760 +00:00;2
41083;2022-05-09 09:46:50.285516 +00:00;1;2022-05-09 09:46:52.629695 +00:00;2
41084;2022-05-09 09:46:54.352448 +00:00;-1;2022-05-09 09:46:55.109479 +00:00;2
41085;2022-05-09 09:47:01.141935 +00:00;-1;2022-05-09 09:47:11.536663 +00:00;2
41086;2022-05-09 09:47:03.164937 +00:00;1;2022-05-09 09:47:11.865392 +00:00;2
41087;2022-05-09 09:47:06.640426 +00:00;1;2022-05-09 09:47:12.112105 +00:00;2
41088;2022-05-09 09:47:09.546228 +00:00;1;2022-05-09 09:47:12.792960 +00:00;2
41089;2022-05-09 09:47:11.832049 +00:00;-1;2022-05-09 09:47:13.062646 +00:00;2
41090;2022-05-09 09:47:22.478917 +00:00;1;2022-05-09 09:47:23.075409 +00:00;2
41091;2022-05-09 09:47:28.979810 +00:00;-1;2022-05-09 09:47:29.322375 +00:00;2
41092;2022-05-09 09:47:42.858607 +00:00;-1;2022-05-09 09:47:43.051479 +00:00;2
41093;2022-05-09 09:47:43.459920 +00:00;1;2022-05-09 09:47:43.676922 +00:00;2
41094;2022-05-09 09:48:01.916799 +00:00;-1;2022-05-09 09:48:02.136088 +00:00;2
41095;2022-05-09 09:48:04.111160 +00:00;-1;2022-05-09 09:48:04.299803 +00:00;6
41096;2022-05-09 09:48:15.160160 +00:00;1;2022-05-09 09:48:15.462428 +00:00;2
41097;2022-05-09 09:48:29.643740 +00:00;-1;2022-05-09 09:48:29.981726 +00:00;2
41098;2022-05-09 09:48:34.213992 +00:00;-1;2022-05-09 09:48:34.523140 +00:00;2
41099;2022-05-09 09:48:56.288517 +00:00;1;2022-05-09 09:48:56.927281 +00:00;2
41100;2022-05-09 09:48:56.637611 +00:00;-1;2022-05-09 09:48:57.137850 +00:00;2
41101;2022-05-09 09:49:01.489481 +00:00;1;2022-05-09 09:49:01.913810 +00:00;2
41102;2022-05-09 09:49:16.105942 +00:00;1;2022-05-09 09:49:16.398978 +00:00;2
41103;2022-05-09 09:49:20.529267 +00:00;1;2022-05-09 09:49:20.713397 +00:00;2
41104;2022-05-09 09:49:35.542959 +00:00;1;2022-05-09 09:49:35.894937 +00:00;2
41105;2022-05-09 09:49:41.609582 +00:00;1;2022-05-09 09:49:41.797952 +00:00;2
41106;2022-05-09 09:49:45.027507 +00:00;1;2022-05-09 09:49:45.462471 +00:00;2
41107;2022-05-09 09:49:51.114342 +00:00;1;2022-05-09 09:49:51.359453 +00:00;6
41108;2022-05-09 09:50:17.173436 +00:00;1;2022-05-09 09:50:17.405418 +00:00;2
41109;2022-05-09 09:50:22.197331 +00:00;1;2022-05-09 09:50:22.495928 +00:00;2
41110;2022-05-09 09:50:29.560597 +00:00;1;2022-05-09 09:50:29.917164 +00:00;2
41111;2022-05-09 09:50:33.623655 +00:00;-1;2022-05-09 09:50:33.909561 +00:00;2
41112;2022-05-09 09:50:38.463784 +00:00;-1;2022-05-09 09:50:38.687611 +00:00;2
41113;2022-05-09 09:50:40.660400 +00:00;1;2022-05-09 09:50:40.847172 +00:00;2
41114;2022-05-09 09:50:41.980170 +00:00;-1;2022-05-09 09:50:42.168350 +00:00;6
41115;2022-05-09 09:51:18.202140 +00:00;1;2022-05-09 09:51:18.415046 +00:00;2
41116;2022-05-09 09:51:27.414541 +00:00;1;2022-05-09 09:51:27.712610 +00:00;2
41117;2022-05-09 09:51:33.504274 +00:00;-1;2022-05-09 09:51:33.802709 +00:00;2
41118;2022-05-09 09:51:36.019311 +00:00;-1;2022-05-09 09:51:36.284346 +00:00;2
41119;2022-05-09 09:51:55.741473 +00:00;1;2022-05-09 09:51:56.098493 +00:00;2
41120;2022-05-09 09:52:04.000038 +00:00;1;2022-05-09 09:52:04.178015 +00:00;2
41121;2022-05-09 09:52:09.522470 +00:00;-1;2022-05-09 09:52:09.911104 +00:00;2
41122;2022-05-09 09:52:19.452334 +00:00;1;2022-05-09 09:52:19.627226 +00:00;2
41123;2022-05-09 09:52:21.450617 +00:00;-1;2022-05-09 09:52:21.827447 +00:00;2
41124;2022-05-09 09:52:27.650076 +00:00;1;2022-05-09 09:52:27.885604 +00:00;2
41125;2022-05-09 09:52:36.372360 +00:00;-1;2022-05-09 09:52:36.700380 +00:00;2
41126;2022-05-09 09:52:36.814956 +00:00;1;2022-05-09 09:52:37.003033 +00:00;2
41127;2022-05-09 09:52:54.476227 +00:00;-1;2022-05-09 09:52:54.819534 +00:00;2
41128;2022-05-09 09:53:18.023615 +00:00;-1;2022-05-09 09:53:18.257526 +00:00;2
41129;2022-05-09 09:53:19.955131 +00:00;1;2022-05-09 09:53:20.241190 +00:00;2
41130;2022-05-09 09:53:20.553655 +00:00;1;2022-05-09 09:53:20.787397 +00:00;2
41131;2022-05-09 09:53:22.925921 +00:00;1;2022-05-09 09:53:23.175458 +00:00;2
41132;2022-05-09 09:53:26.548885 +00:00;1;2022-05-09 09:53:26.740934 +00:00;2
41133;2022-05-09 09:53:31.882269 +00:00;-1;2022-05-09 09:53:32.095395 +00:00;2
41134;2022-05-09 09:53:36.314327 +00:00;1;2022-05-09 09:53:36.497706 +00:00;2
41135;2022-05-09 09:53:40.510410 +00:00;1;2022-05-09 09:53:40.932946 +00:00;2
41136;2022-05-09 09:53:40.904964 +00:00;1;2022-05-09 09:53:41.189408 +00:00;2
41137;2022-05-09 09:53:52.407379 +00:00;-1;2022-05-09 09:53:52.804700 +00:00;2
41138;2022-05-09 09:53:53.162268 +00:00;1;2022-05-09 09:53:53.341085 +00:00;2
41139;2022-05-09 09:54:21.470180 +00:00;-1;2022-05-09 09:54:21.673893 +00:00;2
41140;2022-05-09 09:54:23.583815 +00:00;1;2022-05-09 09:54:23.792220 +00:00;2
41141;2022-05-09 09:54:27.737151 +00:00;1;2022-05-09 09:54:27.906157 +00:00;2
